data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6230380,466,MLI2538,2538,22 December 2018,2018,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,Katiba Macina,2,Civilians (Mali),Teachers (Mali),7,27,Western Africa,Mali,Mopti,Tenenkou,Tenenkou Commune,Tenenkou,14.4572,-4.9167,2,RFI; AFP,International,"On December 22, Katiba Macina (JNIM) militants abducted a teacher aboard a pirogue between Tenenkou and Mopti (coded as Tenenkou at geoprecision 2).",0,1572403609,MLI
6230378,466,MLI2529,2529,19 December 2018,2018,1,Violence against civilians,Attack,Islamic State (Greater Sahara),,2,Civilians (Mali),Tuareg Ethnic Group (Mali),7,27,Western Africa,Mali,Gao,Menaka,Anderamboukane,Anderamboukane,15.4275,3.0175,2,Studio Tamani; Kibaru; MSA Azawad,New media-National,"On December 19, presumed ISGS militants aboard motorbikes coming from the well of Azolagh on the road from Tarbiya attacked a Bellah camp in Abougoulou, and killed at least six civilians including slitting the throat of the driver of a vehicle carrying marketgoers, which they also burned.",6,1572403609,MLI
6311177,466,MLI2528,2528,18 December 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),Bozo Ethnic Group (Mali),7,37,Western Africa,Mali,Segou,Macina,Macina,Soumouni,14.1373,-5.2356,2,Studio Tamani,National,"On December 18, unknown gunmen killed a Bozo and wounded another between Soumouni and Sene Bamana (coded as Soumouni at geoprecision 2).",1,1572403781,MLI
5870155,466,MLI2527,2527,18 December 2018,2018,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Mopti,Koro,Koro,Gomso-Baroua,13.9911,-2.9124,2,Studio Tamani,Subnational,"On December 18, unknown gunmen abducted a man between Gomso-Baroua and Toumotogoro (coded as Gomso-Baroua at geoprecision 2).",0,1567462282,MLI
6031333,466,MLI2526,2526,18 December 2018,2018,1,Violence against civilians,Attack,Islamic State (Greater Sahara),Katiba Salaheddine,2,Civilians (Mali),,7,27,Western Africa,Mali,Gao,Ansongo,Talataye,Agarnadamoss,16.2253,1.396,2,MSA Azawad; Kibaru,New media-National,"On December 18, presumed Katiba Salaheddine militants attacked a camp in the area of Boutak, killing one individual, local self-defense retaliated, forcing the assailants to withdraw.",1,1571164380,MLI
6311178,466,MLI2521,2521,16 December 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Western Africa,Mali,Tombouctou,Gourma-Rharous,Gossi,Gossi,15.8196,-1.2911,2,Studio Tamani,National,"On December 16, unknown gunmen shot dead a man and wounded another near Gossi.",1,1572403781,MLI
4581066,466,MLI2512,2512,15 December 2018,2018,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,Katiba Macina,2,Civilians (Mali),Labour Group (Mali); Health Workers (Mali),7,27,Western Africa,Mali,Mopti,Youwarou,Bimbere Tama,Dogo,15.1686,-4.4312,1,Figaro du Mali,National,"On December 15, presumed Katiba Macina militants abducted a merchant and a nurse in Dogo.",0,1552576422,MLI
6073301,466,MLI2520,2520,15 December 2018,2018,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Mali),,3,Civilians (Mali),Fulani Ethnic Group (Mali),7,37,Western Africa,Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,2,Kisal,New media,"On December 15, unknown gunmen abducted a civilian in the village of Nokara.",0,1571164566,MLI
6128221,466,MLI2510,2510,14 December 2018,2018,1,Violence against civilians,Abduction/forced disappearance,JNIM: Group for Support of Islam and Muslims,Katiba Macina,2,Civilians (Mali),Bozo Ethnic Group (Mali); Fishermen (Mali),7,27,Western Africa,Mali,Mopti,Djenne,Kewa,Kouakourou,14.2223,-4.4959,2,Twitter,New media,"On December 14, presumed Katiba Macina militants abducted 22 Bozo fishermen near Kouakourou.",0,1571164643,MLI
4581955,466,MLI2561,2561,13 December 2018,2018,2,Violence against civilians,Attack,Military Forces of Burkina Faso (2015-),,8,Civilians (Mali),Arab Ethnic Group (Mali); Refugees/IDPs (Mali),7,78,Western Africa,Mali,Mopti,Douentza,Mondoro,Boulikessi,14.7953,-1.3181,2,Kibaru,National,"On December 13, the Burkinabe army arrested a displaced father and his three sons of the Arab community returning from Burkina Faso where they had sought refuge. They were arrested in the area of Boulikessi, the corps of the father was later found at the hospital of Djibo with signs of torture, the Burkinabe army admitted that the three sons were kept in detention.",1,1552576423,MLI
